#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:8
J4T`2	Kanji Study Word Model v3	palabras	1362100	新鮮	新[しん] 鮮[せん]	<small><font color='#78909C'>Na-adjective</font></small><br> fresh	
|!cMQ	Kanji Study Word Model v3	palabras	1414160	大臣	大[だい] 臣[じん]	<small><font color='#78909C'>Noun</font></small><br> cabinet minister	
JNA+E	Kanji Study Word Model v3	palabras	1211750	官邸	官[かん] 邸[てい]	<small><font color='#78909C'>Noun</font></small><br> <font color='#808080'>(See 私邸)</font> official residence <font color='#808080'>(e.g. of the prime minister)</font>	
$y^y	Kanji Study Word Model v3	palabras	1436290	抵当	抵[てい] 当[とう]	<small><font color='#78909C'>Noun, No-adjective</font></small><br> mortgage, security, hypothec, pledge	
$gplH	Kanji Study Word Model v3	palabras	1200650	戒める, 誡める	戒[いまし]める,  誡[いまし]める	<small><font color='#78909C'>Ichidan verb ending in る, Transitive verb</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> to warn against, to caution against<br><b><font color='#4EAA72'><small>2.</small></font></b> to admonish, to scold, to rebuke<br><b><font color='#4EAA72'><small>3.</small></font></b> to prohibit, to forbid, to ban<br><b><font color='#4EAA72'><small>4.</small></font></b> <font color='#808080'>(archaism)</font> to be cautious<br><b><font color='#4EAA72'><small>5.</small></font></b> <font color='#808080'>(archaism)</font> to detest, to loathe<br><b><font color='#4EAA72'><small>6.</small></font></b> <font color='#808080'>(archaism)</font> to punish	
tryI8	Kanji Study Word Model v3	palabras	1257080	圏	圏[けん]	<small><font color='#78909C'>Suffix</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> sphere, circle, range, area, zone, bloc<br><small><font color='#78909C'>Noun</font></small> <br><b><font color='#4EAA72'><small>2.</small></font></b> <font color='#607D8B'>[mathematics term]</font> category	
i)x)7	Kanji Study Word Model v3	palabras	1211200	巻く, 捲く	巻[ま]く,  捲[ま]く	<small><font color='#78909C'>Godan verb ending in く, Transitive verb</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> to wind, to coil, to roll, to wear <font color='#808080'>(e.g. turban, scarf)</font><br><b><font color='#4EAA72'><small>2.</small></font></b> <font color='#808080'>(usually 巻かれる)</font> to envelope, to shroud<br><b><font color='#4EAA72'><small>3.</small></font></b> to outflank, to skirt<br><b><font color='#4EAA72'><small>4.</small></font></b> <font color='#808080'>(See 付合)</font> to link <font color='#808080'>(verse)</font><br><small><font color='#78909C'>Godan verb ending in く, Intransitive verb</font></small> <br><b><font color='#4EAA72'><small>5.</small></font></b> to move ahead <font color='#808080'>(three hours, etc.)</font>, to move up	
WK/*9	Kanji Study Word Model v3	palabras	1589880	関わる, 係わる	関[かか]わる,  係[かか]わる	<small><font color='#78909C'>Godan verb ending in る, Intransitive verb</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> to be affected, to be influenced<br><b><font color='#4EAA72'><small>2.</small></font></b> to be concerned with, to have to do with<br><b><font color='#4EAA72'><small>3.</small></font></b> to stick to <font color='#808080'>(opinions)</font>	
o~vM1	Kanji Study Word Model v3	palabras	1215790	関する	関[かん]する	<small><font color='#78909C'>Special verb ending in する</font></small><br> to concern, to be related	
PLlLS	Kanji Study Word Model v3	palabras	1215770	関	関[せき]	<small><font color='#78909C'>Noun, Noun used as a suffix</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> <font color='#808080'>(せき only)</font> barrier, gate<br><small><font color='#78909C'>Noun</font></small> <br><b><font color='#4EAA72'><small>2.</small></font></b> <font color='#808080'>(usually セキ)</font> seki <font color='#808080'>(in go)</font>, mutual life	
?tVb2	Kanji Study Word Model v3	palabras	1312860	賜る	賜[たまわ]る	<small><font color='#78909C'>Godan verb ending in る, Transitive verb</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> <font color='#808080'>(kenjougo)</font> to be given, to be granted, to be honored with, to be honoured with<br><b><font color='#4EAA72'><small>2.</small></font></b> <font color='#808080'>(sonkeigo)</font> to give, to bestow, to confer, to honor, to honour	
`5%EA	Kanji Study Word Model v3	palabras	1155980	囲む	囲[かこ]む	<small><font color='#78909C'>Godan verb ending in む, Transitive verb</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> to surround, to encircle, to enclose, to fence, to wall in<br><b><font color='#4EAA72'><small>2.</small></font></b> to besiege, to lay siege to<br><b><font color='#4EAA72'><small>3.</small></font></b> to play <font color='#808080'>(go, shogi, etc.)</font>	
${D}9	Kanji Study Word Model v3	palabras	1375210	姓名	姓[せい] 名[めい]	<small><font color='#78909C'>Noun</font></small><br> <font color='#808080'>(full)</font> name, family name and given name	
i_av6	Kanji Study Word Model v3	palabras	1200750	改める, 検める, 革める	改[あらた]める,  検[あらた]める,  革[あらた]める	<small><font color='#78909C'>Ichidan verb ending in る, Transitive verb</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> <font color='#808080'>(改める, 革める only)</font> to change, to alter, to revise, to replace<br><b><font color='#4EAA72'><small>2.</small></font></b> <font color='#808080'>(改める, 革める only)</font> to reform, to correct, to mend, to improve<br><b><font color='#4EAA72'><small>3.</small></font></b> <font color='#808080'>(改める, 検める only)</font> to examine, to check, to inspect<br><b><font color='#4EAA72'><small>4.</small></font></b> <font color='#808080'>(改める, 革める only)</font> to do properly, to do formally	
$[<?J	Kanji Study Word Model v3	palabras	1266890	己	己[おのれ]	<small><font color='#78909C'>Pronoun</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> <font color='#808080'>(poetical term)</font> oneself <font color='#808080'>(itself, etc.)</font><br><b><font color='#4EAA72'><small>2.</small></font></b> <font color='#808080'>(kenjougo)</font> I, me<br><b><font color='#4EAA72'><small>3.</small></font></b> <font color='#808080'>(derogatory)</font> you<br><small><font color='#78909C'>Adverb</font></small> <br><b><font color='#4EAA72'><small>4.</small></font></b> by oneself <font color='#808080'>(itself, etc.)</font><br><small><font color='#78909C'>Interjection</font></small> <br><b><font color='#4EAA72'><small>5.</small></font></b> interjection expressing anger or chagrin	
y=utB	Kanji Study Word Model v3	palabras	1257590	憲法	憲[けん] 法[ぽう]	<small><font color='#78909C'>Noun, No-adjective</font></small><br> constitution	
?QsT4	Kanji Study Word Model v3	palabras	1167610	溢れる	溢[あふ]れる	<small><font color='#78909C'>Ichidan verb ending in る, Intransitive verb</font></small><br> <font color='#808080'>(usually kana only)</font> to overflow, to brim over, to flood	
lXGSA	Kanji Study Word Model v3	palabras	1557650	零れる, 溢れる	零[こぼ]れる,  溢[こぼ]れる	<small><font color='#78909C'>Ichidan verb ending in る, Intransitive verb</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> <font color='#808080'>(usually kana only)</font> to spill, to fall out of, to overflow<br><b><font color='#4EAA72'><small>2.</small></font></b> to peek through, to become visible <font color='#808080'>(although normally not)</font><br><b><font color='#4EAA72'><small>3.</small></font></b> to escape <font color='#808080'>(of a smile, tear, etc.)</font>	
c,:[N	Kanji Study Word Model v3	palabras	1541120	有益	有[ゆう] 益[えき]	<small><font color='#78909C'>Na-adjective, Noun</font></small><br> beneficial, profitable, useful, helpful, instructive	
r?[hF	Kanji Study Word Model v3	palabras	1549470	利益	利[り] 益[えき]	<small><font color='#78909C'>Noun, Suru-verb</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> profit, gains<br><b><font color='#4EAA72'><small>2.</small></font></b> benefit, advantage, interest <font color='#808080'>(of the public, etc.)</font><br><b><font color='#4EAA72'><small>3.</small></font></b> <font color='#808080'>(りやく only)</font> grace <font color='#808080'>(of God, Buddha, etc.)</font> <font color='#808080'>(especially as attained through rightful actions, prayer, adherence to one's faith, etc.)</font>, blessing, miracle
